trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-70.98594888863798,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-54.010557403615856,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,15,-66.20149940136217,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-118.45182613131016,"{0: 18, 1: 2, 2: 7, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-156.46067653004923,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-110.89217989332276,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-124.7252820401983,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-195.18082632537158,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-66.485617530861,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-32.27640980798279,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-82.52475914289133,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-57.447482848183974,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,-13.325235224071363,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,9,-97.2904847493158,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,7,4.025988978351329,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,5,-2.7621311028623614,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,9.92725685297058,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,4,28.997831960119854,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,20.707134725277548,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,19.71555191699997,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-22.75943944662163,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,12,13.994763795960765,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,11,25.949501355605864,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,20,12.582912649365005,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,29.22965184116117,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,5,29.068264356144685,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,15,10.344793277649574,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,12,6.2319018903922485,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,13,20.173266473498146,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,14.65516614387226,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
