trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-73.78551964211533,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-27.89321965095839,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,2,-71.2810964339581,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.96059601}",30,11,-52.72179775792627,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",30,0,-73.08610397603695,"{0: 20, 1: 6, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,0,-179.94262223205965,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-87.6230316814969,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",20,0,-81.55396616498044,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",20,0,-52.65324222769074,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",25,0,-78.54023789764219,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,0,-52.027619470298326,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,0,-60.513943454212765,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-139.87186039001494,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",25,0,-65.8241809757981,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",30,0,-96.00274025224934,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",35,0,-122.06906542597133,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",20,2,-81.41307992837336,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-88.19139050313684,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",25,0,-66.87068278614242,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",25,0,-16.859618640446442,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
