trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.95392018548122,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-230.37127711167454,"{0: 9, 1: 4, 2: 8, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.68994989351967,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.96068869415086,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.60536577700594,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.66582540752893,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.86516136790453,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.48663505603665,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.2843595780177,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.55964423644969,"{0: 14, 1: 3, 2: 3, 3: 4, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.4861316221897,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.10400546079455,"{0: 6, 1: 3, 2: 9, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-161.90625741342882,"{0: 20, 1: 6, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,6,-30.9844112274177,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.30261186344175,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.59536489662983,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.81644001140978,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.08331863428423,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.84062251308529,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.21204746241119,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-116.08935595376549,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.53374335405655,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-157.34356283787335,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.1654662520596,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-151.14329834810474,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-298.5876554687547,"{0: 17, 1: 4, 2: 9, 3: 0, 4: 5}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.04219340361246,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.22631002837093,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-151.953974131617,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.6261897776588,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
